bathtub,2,1,1,1
bed,2.5,1.2,2,1
bed headboard,2,1.5,0.5,1
ceiling,30,0.05,30,4
coffee machine,0.5,0.5,0.5,1
computer bag,0.5,0.5,0.5,1
counter top,2.5,0.5,1,1
curtain,10,5,1,1
curtain pole,5,0.3,0.3,1
desk,2,1.5,1.5,1
door,1.5,3,0.3,1
floor,30,0.05,30,0
lamp,0.5,0.5,0.5,1
light switch,0.3,0.3,0.3,1
night stand,1,1,1,1
office chair,1,1.5,1,1
painting,2,2,0.4,1
paper bag,0.5,0.5,0.5,1
pillow,1,0.5,0.5,1
power outlet,0.3,0.3,0.3,1
sink,0.5,0.5,0.5,1
sofa chair,1.5,1.5,1.5,1
suitcase,1.5,1,1,1
telephone,0.4,0.4,0.4,1
toilet,1.5,1.5,1,1
toilet paper,0.4,0.4,0.4,1
towel,2,2,1,1
trash can,1.5,1,0.5,1
tv,1.5,1,1,1
tv stand,3,1,1,1
wall,30,5,0.05,1
mirror,10000,10000,10000,3
